LOAD kn,STRAIN1 mm
0.536495,0.043747
0.531644,0.043668
0.539982,0.043792
0.542325,0.044052
0.537914,0.044094
0.545627,0.044185
0.54996,0.044318
0.542337,0.044458
0.548184,0.044442
0.551873,0.044615
0.547028,0.04462
0.557446,0.044776
0.558448,0.044909
0.555289,0.044972
0.564432,0.045111
0.564927,0.045229
0.560057,0.045345
0.566387,0.045519
0.565219,0.045438
0.562513,0.045339
0.567973,0.045632
0.570953,0.045621
0.561082,0.045576
0.57317,0.045661
0.574714,0.045781
0.570679,0.045871
0.581849,0.046117
0.579113,0.046077
0.576013,0.046114
0.58549,0.046467
0.586581,0.046481
0.58735,0.046658
0.597727,0.046876
0.593936,0.046973
0.585741,0.046926
0.596213,0.047122
0.591052,0.046984
0.587541,0.04702
0.600415,0.047097
0.594914,0.047104
0.595486,0.047179
0.606531,0.047387
0.599885,0.047382
0.597703,0.047258
0.6051,0.047439
0.598443,0.047433
0.600111,0.047505
0.614309,0.04771
0.609499,0.047732
0.615239,0.047809
0.623852,0.048304
0.621969,0.048267
0.62291,0.048605
0.630635,0.048715
0.629395,0.048872
0.63296,0.04899
0.636792,0.049026
0.629264,0.049081
0.631064,0.04907
0.635839,0.049136
0.630689,0.049084
0.635487,0.049273
0.642902,0.049413
0.632095,0.049268
0.635946,0.049359
0.642544,0.049383
0.63554,0.04937
0.639838,0.049531
0.647986,0.049691
0.642759,0.049613
0.652832,0.049789
0.652742,0.049987
0.647646,0.049914
0.653738,0.05008
0.656533,0.050012
0.652039,0.05015
0.65608,0.050198
0.658536,0.050455
0.657833,0.050341
0.664759,0.050535
0.670743,0.050852
0.66492,0.050836
0.673741,0.050961
0.673658,0.051055
0.66784,0.051062
0.67867,0.051242
0.675482,0.051464
0.671321,0.051336
0.682563,0.051481
0.682867,0.051641
0.674862,0.051463
0.684077,0.051569
0.682992,0.051707
0.678283,0.05162
0.690985,0.051849
0.687152,0.051848
0.681686,0.051708
0.691479,0.051884
0.689197,0.052116
0.689185,0.052075
0.700802,0.052337
0.700718,0.052376
0.695294,0.052381
0.708705,0.052618
0.705498,0.052757
0.706053,0.052865
0.712115,0.053017
0.706512,0.053048
0.704038,0.053125
0.7182,0.05318
0.713605,0.053303
0.716597,0.053285
0.722289,0.053565
0.718623,0.05358
0.722116,0.053601
0.729901,0.053793
0.722533,0.053791
0.728232,0.054043
0.734615,0.054105
0.727195,0.054109
0.730461,0.054232
0.741529,0.054273
0.733221,0.054264
0.736082,0.054334
0.739431,0.054507
0.735575,0.054384
0.740308,0.054612
0.749654,0.054793
