POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.313025,0.25453,0.024293,-3.240773,3.99
-54.314052,0.258356,0.024395,-3.289495,4
-54.313016,0.254333,0.024481,-3.238269,4.01
-54.314524,0.26446,0.024683,-3.367207,4.02
-54.31219,0.262523,0.024857,-3.342543,4.03
-54.312889,0.262904,0.024831,-3.3474,4.04
-54.312589,0.271493,0.025065,-3.456759,4.05
-54.312194,0.266182,0.025082,-3.38914,4.06
-54.313475,0.274986,0.025346,-3.501231,4.07
-54.314697,0.280088,0.025644,-3.566194,4.08
-54.311327,0.272852,0.025653,-3.474062,4.09
-54.316041,0.279152,0.025835,-3.554279,4.1
-54.314129,0.282967,0.025852,-3.602849,4.11
-54.313866,0.277448,0.025817,-3.532574,4.12
-54.315946,0.282001,0.026055,-3.590555,4.13
-54.313153,0.277925,0.025995,-3.538645,4.14
-54.315419,0.277746,0.025938,-3.536368,4.15
-54.314447,0.286245,0.026165,-3.644589,4.16
-54.314115,0.27793,0.026127,-3.538721,4.17
-54.313834,0.287229,0.02625,-3.657111,4.18
-54.315255,0.286329,0.026386,-3.645651,4.19
-54.314647,0.278002,0.026209,-3.539632,4.2
-54.316573,0.289965,0.026462,-3.691945,4.21
-54.314547,0.283688,0.026452,-3.612032,4.22
-54.315419,0.288737,0.026465,-3.676311,4.23
-54.315024,0.293469,0.026682,-3.736569,4.24
-54.315778,0.290841,0.026675,-3.703101,4.25
-54.316663,0.296301,0.026878,-3.772617,4.26
-54.314238,0.296956,0.026972,-3.780965,4.27
-54.314138,0.29428,0.026993,-3.74689,4.28
-54.316659,0.302941,0.027083,-3.85716,4.29
-54.316155,0.297618,0.027156,-3.789389,4.3
-54.316155,0.29763,0.027277,-3.789541,4.31
-54.317872,0.306004,0.027375,-3.896168,4.32
-54.31447,0.301886,0.027488,-3.843727,4.33
-54.316423,0.308084,0.02767,-3.922654,4.34
-54.315969,0.313354,0.027807,-3.989741,4.35
-54.316405,0.306791,0.028012,-3.906185,4.36
-54.31838,0.317144,0.028058,-4.038008,4.37
-54.31556,0.315529,0.028235,-4.017441,4.38
-54.317399,0.314343,0.028178,-4.002339,4.39
-54.317763,0.317174,0.028258,-4.038387,4.4
-54.31625,0.311989,0.028253,-3.972362,4.41
-54.31774,0.316942,0.028444,-4.035428,4.42
-54.3161,0.322253,0.028537,-4.103046,4.43
-54.316368,0.316685,0.028486,-4.032164,4.44
-54.320161,0.325078,0.028681,-4.139019,4.45
-54.316677,0.321716,0.028768,-4.096216,4.46
-54.318526,0.321239,0.028748,-4.090145,4.47
-54.317704,0.330234,0.028823,-4.204664,4.48
-54.317254,0.321943,0.028975,-4.0991,4.49
-54.317654,0.328493,0.028916,-4.182504,4.5
-54.317604,0.327182,0.029051,-4.165808,4.51
-54.316296,0.324106,0.029071,-4.126649,4.52
-54.317903,0.337636,0.029205,-4.298921,4.53
-54.315682,0.336701,0.029526,-4.287006,4.54
-54.317327,0.334525,0.029352,-4.259306,4.55
-54.317308,0.348479,0.029794,-4.436967,4.56
-54.316831,0.339592,0.029675,-4.323813,4.57
-54.319161,0.345588,0.02986,-4.40016,4.58
-54.318571,0.346124,0.029984,-4.40699,4.59
-54.319548,0.343758,0.030059,-4.376861,4.6
-54.3223,0.353074,0.030261,-4.495479,4.61
-54.318607,0.349486,0.030291,-4.449792,4.62
-54.31972,0.345892,0.030281,-4.40403,4.63
-54.32012,0.357449,0.030323,-4.551183,4.64
-54.319021,0.347006,0.030431,-4.418222,4.65
-54.320292,0.352389,0.03042,-4.486751,4.66
-54.319325,0.354028,0.030472,-4.507621,4.67
-54.319416,0.350231,0.030452,-4.459279,4.68
-54.321001,0.357318,0.030656,-4.549513,4.69
-54.318857,0.357926,0.030813,-4.557254,4.7
-54.318485,0.357729,0.030871,-4.55475,4.71
-54.322541,0.368172,0.031018,-4.687711,4.72
-54.31977,0.363475,0.031028,-4.627909,4.73
-54.319366,0.364703,0.031182,-4.643542,4.74
-54.321301,0.369906,0.031204,-4.709795,4.75
-54.320301,0.361466,0.031196,-4.602333,4.76
-54.319607,0.37207,0.031402,-4.737343,4.77
-54.32056,0.372148,0.031468,-4.73833,4.78
-54.32061,0.365251,0.031437,-4.650524,4.79
-54.31923,0.375688,0.031709,-4.783409,4.8
-54.320283,0.371188,0.031628,-4.726111,4.81
-54.322132,0.374699,0.031751,-4.770811,4.82
-54.319307,0.380129,0.03187,-4.839948,4.83
-54.320052,0.373638,0.031963,-4.757303,4.84
-54.321977,0.38051,0.032089,-4.844805,4.85
-54.319747,0.387532,0.032234,-4.934205,4.86
-54.319407,0.384659,0.032357,-4.897625,4.87
-54.322145,0.398064,0.032836,-5.068304,4.88
-54.32155,0.392991,0.032849,-5.003721,4.89
-54.322472,0.39317,0.032896,-5.005997,4.9
-54.321114,0.402051,0.033098,-5.119075,4.91
-54.321146,0.392926,0.033076,-5.002886,4.92
-54.323535,0.397503,0.033005,-5.06117,4.93
-54.321419,0.397485,0.033035,-5.060943,4.94
-54.32205,0.388467,0.033083,-4.946119,4.95
-54.323122,0.394845,0.033179,-5.027323,4.96
-54.320883,0.389415,0.033142,-4.958186,4.97
-54.321414,0.388724,0.033077,-4.949383,4.98
-54.321342,0.398529,0.033274,-5.074223,4.99
-54.320519,0.393629,0.033229,-5.011841,5
-54.323394,0.400752,0.033396,-5.102531,5.01
-54.323417,0.401992,0.033396,-5.118316,5.02
-54.323122,0.396085,0.033492,-5.043108,5.03
-54.322018,0.406617,0.033548,-5.177207,5.04
-54.323004,0.4062,0.033728,-5.171895,5.05
-54.323871,0.405371,0.033681,-5.161346,5.06
-54.324262,0.41467,0.034047,-5.279736,5.07
-54.324117,0.413638,0.034225,-5.266607,5.08
-54.323226,0.421089,0.03432,-5.361471,5.09
-54.323426,0.428206,0.034558,-5.452085,5.1
-54.322373,0.418603,0.034593,-5.329824,5.11
-54.324212,0.431991,0.034788,-5.500275,5.12
-54.323744,0.428557,0.034841,-5.456562,5.13
-54.323113,0.425178,0.034856,-5.413532,5.14
-54.326597,0.435925,0.035026,-5.550364,5.15
-54.325511,0.425857,0.035188,-5.422184,5.16
-54.324598,0.430036,0.035215,-5.475383,5.17
-54.324657,0.431949,0.03517,-5.499744,5.18
-54.324294,0.427866,0.035084,-5.447759,5.19
-54.32557,0.438261,0.035254,-5.580113,5.2
-54.32552,0.43714,0.035482,-5.565845,5.21
-54.324612,0.438541,0.035457,-5.58368,5.22
-54.325479,0.445533,0.035647,-5.6727,5.23
-54.324993,0.440031,0.035629,-5.602652,5.24
-54.324925,0.443852,0.035725,-5.651299,5.25
-54.326115,0.449455,0.035921,-5.722636,5.26
-54.32314,0.445497,0.035877,-5.672244,5.27
-54.325874,0.456071,0.036117,-5.806875,5.28
-54.325175,0.454915,0.036226,-5.792152,5.29
-54.325516,0.45163,0.036346,-5.750336,5.3
-54.326515,0.463003,0.036544,-5.895136,5.31
-54.324748,0.455225,0.036516,-5.796099,5.32
-54.326319,0.459659,0.036614,-5.852561,5.33
-54.325329,0.467205,0.036636,-5.948639,5.34
-54.325443,0.458419,0.036726,-5.836776,5.35
-54.32736,0.465107,0.036834,-5.921926,5.36
-54.326442,0.463128,0.036989,-5.89673,5.37
-54.326683,0.463504,0.036809,-5.901511,5.38
-54.3283,0.472635,0.037131,-6.017776,5.39
-54.325784,0.466031,0.037135,-5.933689,5.4
-54.327646,0.469238,0.03716,-5.974518,5.41
-54.328758,0.474048,0.037317,-6.035762,5.42
-54.32552,0.462598,0.037303,-5.889976,5.43
-54.328427,0.470096,0.037299,-5.985447,5.44
-54.328454,0.474536,0.037408,-6.041985,5.45
-54.326815,0.471711,0.037449,-6.006013,5.46
-54.3279,0.483459,0.037728,-6.155594,5.47
-54.327196,0.481886,0.037733,-6.135559,5.48
-54.328463,0.484306,0.037775,-6.166371,5.49
-54.327496,0.490373,0.038093,-6.243628,5.5
-54.327251,0.478804,0.037976,-6.096323,5.51
-54.327818,0.486761,0.038076,-6.197638,5.52
-54.3284,0.493783,0.038289,-6.287037,5.53
-54.327496,0.487006,0.038313,-6.200749,5.54
-54.329585,0.497013,0.038538,-6.32817,5.55
-54.327836,0.496137,0.038622,-6.317014,5.56
-54.327909,0.492543,0.038536,-6.271252,5.57
-54.328109,0.501889,0.038702,-6.390249,5.58
-54.328218,0.495529,0.038674,-6.309273,5.59
-54.32944,0.499427,0.038914,-6.358906,5.6
-54.327932,0.504553,0.03906,-6.424172,5.61
-54.328377,0.499403,0.039005,-6.358603,5.62
-54.329862,0.506872,0.039203,-6.453694,5.63
-54.32904,0.508368,0.039233,-6.472743,5.64
-54.329767,0.50841,0.039195,-6.473274,5.65
-54.330761,0.513124,0.039428,-6.533304,5.66
-54.328609,0.508845,0.039553,-6.478814,5.67
-54.329676,0.514579,0.03963,-6.551821,5.68
-54.329671,0.517869,0.039663,-6.593713,5.69
-54.328967,0.50928,0.039668,-6.484354,5.7
-54.331583,0.521344,0.039835,-6.637957,5.71
-54.327505,0.519973,0.03984,-6.620502,5.72
-54.330153,0.518984,0.040016,-6.607904,5.73
-54.330448,0.524598,0.040035,-6.679394,5.74
-54.330189,0.519037,0.040107,-6.608587,5.75
-54.330789,0.524211,0.040059,-6.674461,5.76
-54.329958,0.527507,0.040148,-6.716429,5.77
-54.329104,0.522012,0.040334,-6.646457,5.78
-54.330112,0.535905,0.040426,-6.823359,5.79
-54.33082,0.531417,0.04069,-6.766213,5.8
-54.331588,0.531131,0.040584,-6.76257,5.81
-54.331116,0.541186,0.040727,-6.890598,5.82
-54.32944,0.531667,0.040798,-6.7694,5.83
-54.331515,0.537246,0.040854,-6.840434,5.84
-54.330948,0.540483,0.040974,-6.881643,5.85
-54.330789,0.534701,0.040986,-6.808029,5.86
-54.332551,0.548911,0.041199,-6.988953,5.87
-54.32978,0.545436,0.041247,-6.944709,5.88
-54.329453,0.54155,0.041233,-6.895228,5.89
-54.332778,0.552726,0.041452,-7.037523,5.9
-54.331856,0.54661,0.041502,-6.959659,5.91
-54.333555,0.55061,0.041675,-7.010582,5.92
-54.333714,0.556737,0.041755,-7.088598,5.93
-54.332392,0.551677,0.041687,-7.024167,5.94
-54.333255,0.557941,0.041865,-7.103928,5.95
-54.332115,0.554764,0.041935,-7.063478,5.96
-54.3336,0.552201,0.041917,-7.030845,5.97
-54.33296,0.561851,0.04207,-7.153712,5.98
-54.333382,0.557864,0.042007,-7.102941,5.99
-54.333105,0.559801,0.042101,-7.127606,6
-54.332406,0.562906,0.042205,-7.167145,6.01
-54.332265,0.555634,0.042074,-7.074558,6.02
-54.334413,0.56774,0.042273,-7.228693,6.03
-54.332973,0.563526,0.042235,-7.175038,6.04
-54.332474,0.564504,0.042391,-7.187484,6.05
-54.333414,0.571185,0.042649,-7.272558,6.06
-54.330625,0.567138,0.042552,-7.221028,6.07
-54.335022,0.57199,0.042608,-7.282803,6.08
-54.334009,0.577831,0.042877,-7.357176,6.09
-54.332669,0.573683,0.042972,-7.304356,6.1
-54.33499,0.581968,0.043068,-7.409845,6.11
-54.333768,0.587785,0.043276,-7.483914,6.12
-54.334368,0.5795,0.04336,-7.378426,6.13
-54.335203,0.589734,0.043366,-7.508731,6.14
-54.333877,0.580794,0.043445,-7.394894,6.15
-54.334899,0.581986,0.043496,-7.410072,6.16
-54.334772,0.589007,0.043681,-7.499472,6.17
-54.333895,0.584662,0.043664,-7.444147,6.18
-54.334141,0.590932,0.04376,-7.523985,6.19
-54.333368,0.592875,0.043783,-7.548725,6.2
-54.334454,0.586957,0.043907,-7.473365,6.21
-54.335962,0.60057,0.044075,-7.6467,6.22
