LOAD kn,STRAIN1 mm
-0.092787,-0.046548
-0.09535,-0.046682
-0.088823,-0.046577
-0.087649,-0.046673
-0.097173,-0.046751
-0.092167,-0.046684
-0.089997,-0.046787
-0.095868,-0.047062
-0.100476,-0.047079
-0.091052,-0.047026
-0.09557,-0.04713
-0.105035,-0.047465
-0.099087,-0.047495
-0.098622,-0.047679
-0.105458,-0.047952
-0.103372,-0.04797
-0.100493,-0.047978
-0.104517,-0.04816
-0.107151,-0.048241
-0.101644,-0.048247
-0.101793,-0.048315
-0.108409,-0.048616
-0.103521,-0.048434
-0.100178,-0.04833
-0.10609,-0.048613
-0.108927,-0.048631
-0.100875,-0.048594
-0.104928,-0.048663
-0.11313,-0.048827
-0.10829,-0.048975
-0.108743,-0.049189
-0.117016,-0.0493
-0.11515,-0.049433
-0.114131,-0.04955
-0.120431,-0.049811
-0.124079,-0.049912
-0.118637,-0.049983
-0.119662,-0.050014
-0.130367,-0.050447
-0.12337,-0.0505
-0.119787,-0.050512
-0.128984,-0.05071
-0.134838,-0.050894
-0.125349,-0.050928
-0.130558,-0.051143
-0.13541,-0.0512
-0.130552,-0.051208
-0.127262,-0.051316
-0.130826,-0.051408
-0.130689,-0.051233
-0.127918,-0.051231
-0.129795,-0.051347
-0.133073,-0.051457
-0.125796,-0.051358
-0.129533,-0.051452
-0.135267,-0.051662
-0.132048,-0.051751
-0.132293,-0.052035
-0.14528,-0.052298
-0.144398,-0.052435
-0.142902,-0.052593
-0.147808,-0.052728
-0.154686,-0.052854
-0.145274,-0.053066
-0.147235,-0.053191
-0.153095,-0.053271
-0.152493,-0.053201
-0.146598,-0.053185
-0.153953,-0.053424
-0.156629,-0.053449
-0.145966,-0.053358
-0.151205,-0.053647
-0.159872,-0.053655
-0.150019,-0.053746
-0.148582,-0.053747
-0.156426,-0.053951
-0.159854,-0.053927
-0.149399,-0.053974
-0.157607,-0.054127
-0.164819,-0.054279
-0.160468,-0.054347
-0.1616,-0.054532
-0.172132,-0.054618
-0.165188,-0.05471
-0.166047,-0.054934
-0.170553,-0.055073
-0.17187,-0.055056
-0.166589,-0.055067
-0.168383,-0.055347
-0.175434,-0.055437
-0.174809,-0.055487
-0.168896,-0.055499
-0.177866,-0.055607
-0.176722,-0.055642
-0.171602,-0.055705
-0.176674,-0.055751
-0.181758,-0.055916
-0.175273,-0.055848
-0.174898,-0.05586
-0.185293,-0.056059
-0.180554,-0.056025
-0.173765,-0.056022
-0.182194,-0.056134
-0.183415,-0.05619
-0.174499,-0.055975
-0.179619,-0.056172
-0.184262,-0.05637
-0.180495,-0.056502
-0.182879,-0.056521
-0.192314,-0.056939
-0.197381,-0.057051
-0.192082,-0.057269
-0.202024,-0.057548
-0.201392,-0.057624
-0.192535,-0.057522
-0.196064,-0.057631
-0.204504,-0.057747
-0.198364,-0.057719
-0.195789,-0.057674
-0.208467,-0.058012
-0.20842,-0.058
-0.20209,-0.058161
-0.206214,-0.058237
-0.209463,-0.058269
-0.205493,-0.058237
-0.205171,-0.058366
-0.213331,-0.058526
-0.211477,-0.058443
-0.208247,-0.058407
-0.213349,-0.058814
-0.21987,-0.058841
-0.212926,-0.0587
-0.215024,-0.058914
-0.222933,-0.059088
-0.215673,-0.058988
-0.214744,-0.05905
-0.221729,-0.059355
-0.224942,-0.059428
-0.216901,-0.059293
-0.221837,-0.059377
-0.228894,-0.059631
-0.22164,-0.059546
-0.224072,-0.059739
-0.235093,-0.060051
-0.234592,-0.060221
-0.23334,-0.060265
-0.240105,-0.060611
-0.243121,-0.060486
-0.234163,-0.060676
-0.236571,-0.060731
-0.245029,-0.060763
-0.239897,-0.060779
-0.236607,-0.060803
-0.243956,-0.060935
-0.249439,-0.061076
-0.242031,-0.061179
-0.247902,-0.061219
-0.251013,-0.061449
-0.248063,-0.061546
-0.249887,-0.061389
-0.256264,-0.06154
-0.252539,-0.061569
-0.24814,-0.06153
-0.253123,-0.061794
-0.255287,-0.061817
-0.249583,-0.061744
-0.252116,-0.061858
-0.261909,-0.061979
-0.259036,-0.062171
-0.256538,-0.0622
-0.26499,-0.062302
-0.265068,-0.062485
-0.260258,-0.062586
-0.266773,-0.062549
-0.275838,-0.062804
-0.270694,-0.062997
-0.272208,-0.063104
-0.282371,-0.063336
-0.281042,-0.063558
-0.279647,-0.063737
-0.288713,-0.064034
-0.293487,-0.064088
-0.287819,-0.064223
-0.286138,-0.06422
-0.292027,-0.064161
-0.28531,-0.064107
-0.279218,-0.064034
-0.287956,-0.064172
-0.286549,-0.06409
-0.279742,-0.064121
-0.284433,-0.064314
-0.290114,-0.064342
-0.282568,-0.064374
-0.285083,-0.064346
-0.295198,-0.064501
-0.292104,-0.064468
-0.286698,-0.064531
-0.296968,-0.064784
-0.301719,-0.064867
-0.300241,-0.064977
-0.301957,-0.065283
-0.306559,-0.065331
-0.307679,-0.065421
-0.303209,-0.065377
-0.313497,-0.065583
-0.308865,-0.065648
-0.307351,-0.065653
-0.312012,-0.065785
-0.315702,-0.066006
-0.311273,-0.065862
-0.311631,-0.065954
-0.322455,-0.066061
-0.320083,-0.066266
-0.314444,-0.06628
-0.324005,-0.066496
-0.327551,-0.066538
-0.321883,-0.066628
-0.326043,-0.066755
-0.328577,-0.066877
-0.323546,-0.06679
-0.325227,-0.066931
-0.332624,-0.067053
-0.332367,-0.067003
-0.327033,-0.067103
-0.335449,-0.067216
-0.338167,-0.067163
-0.328022,-0.067152
-0.332147,-0.06722
-0.340617,-0.067436
-0.339872,-0.067487
-0.338823,-0.067695
-0.348538,-0.067997
-0.349784,-0.06809
-0.344723,-0.068149
-0.352597,-0.068273
-0.360489,-0.068477
-0.355148,-0.068464
-0.356919,-0.068648
-0.368023,-0.06896
-0.363743,-0.068936
-0.36248,-0.069104
-0.367844,-0.069226
-0.370789,-0.069283
-0.362372,-0.069156
-0.364709,-0.069298
-0.37232,-0.069392
-0.368243,-0.069423
-0.360548,-0.069451
-0.369191,-0.069499
-0.370789,-0.069542
-0.36608,-0.069503
-0.36869,-0.069607
-0.374794,-0.069646
-0.367898,-0.069588
-0.369841,-0.069704
-0.375569,-0.069791
-0.376791,-0.069947
-0.376135,-0.069978
-0.384355,-0.070233
-0.390273,-0.070263
-0.38113,-0.070375
-0.385153,-0.070505
-0.395852,-0.070636
-0.38833,-0.070639
-0.388694,-0.070763
-0.39531,-0.070837
-0.392884,-0.070938
-0.38951,-0.070887
-0.395876,-0.071191
-0.403917,-0.071252
-0.393784,-0.071228
-0.399578,-0.071314
-0.406557,-0.071562
-0.403112,-0.071569
-0.397158,-0.071539
-0.406545,-0.071849
-0.411266,-0.071857
-0.404572,-0.071795
-0.412172,-0.072095
-0.417107,-0.0722
-0.414431,-0.072047
-0.412995,-0.072316
-0.425249,-0.072588
-0.423509,-0.072617
-0.421709,-0.072792
-0.425977,-0.07285
-0.427788,-0.072875
-0.42606,-0.072946
-0.429529,-0.073057
-0.433969,-0.073199
-0.431967,-0.073301
-0.430471,-0.073193
-0.436145,-0.073415
-0.437486,-0.073473
-0.430965,-0.073418
-0.432986,-0.073528
-0.442421,-0.073657
-0.436282,-0.073664
-0.438821,-0.073789
-0.453049,-0.074106
-0.449371,-0.074055
-0.447255,-0.074137
-0.45532,-0.074383
-0.457174,-0.074488
-0.453186,-0.074517
-0.458008,-0.074554
-0.463772,-0.074683
-0.457513,-0.074652
-0.459623,-0.07486
-0.469095,-0.075228
-0.472182,-0.075022
-0.465816,-0.075114
-0.467807,-0.075393
-0.472486,-0.075428
-0.467873,-0.075445
-0.470698,-0.075483
-0.476027,-0.07557
-0.472605,-0.075489
-0.471675,-0.075621
-0.482231,-0.075817
-0.485307,-0.075963
-0.474221,-0.075896
-0.479501,-0.076046
